,date,pollster,n,Bulstrode,Lydgate,Vincy,Casaubon,Chettam,Others
0,2023-10-11,Verity Insights,1576.0,0.33299999999999996,0.389,,0.156,0.055999999999999994,0.066
1,2023-10-12,Bardi University,683.0,0.307,0.405,,0.11699999999999999,,0.171
2,2023-10-12,Pulse Analytics,2033.0,0.32299999999999995,0.37,,0.128,0.086,0.09300000000000001
3,2023-10-13,Mawmsey Reports,3154.0,0.303,0.377,,0.151,0.086,0.083
4,2023-10-14,Policy Voice Polling,1427.0,0.29600000000000004,0.38799999999999996,,0.17600000000000002,0.077,0.063
5,2023-10-16,DemocracyMeter,724.0,0.32,0.36,,0.13,0.12,0.06
6,2023-10-18,Bardi University,709.0,0.32,0.376,,0.141,0.085,0.078
7,2023-10-18,Capitol Opinion Research,1048.0,0.292,0.363,0.035,0.161,0.1,0.049
8,2023-10-18,Verity Insights,1488.0,0.32899999999999996,0.38299999999999995,,0.13699999999999998,0.068,0.083
9,2023-10-21,Policy Voice Polling,1404.0,0.305,0.348,0.08,0.147,0.086,0.035
10,2023-10-22,Civic Pulse,2769.0,0.27,0.37,,0.2,0.08,0.07
11,2023-10-23,DemocracyMeter,724.0,0.3,0.35,,0.15,0.09,0.1
12,2023-10-23,Mandate Metrics,1894.0,0.281,0.34700000000000003,0.057,0.162,0.115,0.038
13,2023-10-24,Bardi University,706.0,0.292,0.373,,0.134,0.127,0.07400000000000001
14,2023-10-25,Verity Insights,1499.0,0.273,0.35100000000000003,0.07,0.192,0.057999999999999996,0.055
15,2023-10-26,Pulse Analytics,2002.0,0.29600000000000004,0.324,,0.166,0.094,0.12
16,2023-10-28,Policy Voice Polling,1469.0,0.29600000000000004,0.37,0.068,0.166,0.06,0.04
17,2023-10-30,Bardi University,669.0,0.32299999999999995,0.325,,0.161,0.109,0.083
18,2023-10-30,DemocracyMeter,713.0,0.32,0.33,,0.13,0.1,0.11
19,2023-11-01,Verity Insights,1473.0,0.321,0.326,,0.14,0.10099999999999999,0.11199999999999999
20,2023-11-01,Capitol Opinion Research,1053.0,0.355,0.32299999999999995,,0.131,0.09699999999999999,0.09300000000000001
21,2023-11-03,University of Bellville-sur-Mer,1556.0,0.337,0.313,0.071,0.151,0.091,0.036000000000000004
22,2023-11-04,Policy Voice Polling,1398.0,0.33899999999999997,0.33899999999999997,0.047,0.139,0.12300000000000001,0.012
23,2023-11-05,Bardi University,650.0,0.327,0.318,,0.2,,0.155
24,2023-11-05,Civic Pulse,2559.0,0.35,0.32,0.02,0.15,0.1,0.07
25,2023-11-06,DemocracyMeter,749.0,0.31,0.32,,0.15,0.11,0.11
26,2023-11-06,Mandate Metrics,1950.0,0.35200000000000004,0.33399999999999996,,0.151,0.09,0.073
27,2023-11-08,Verity Insights,1563.0,0.327,0.316,0.059000000000000004,0.153,0.131,0.013999999999999999
28,2023-11-09,Pulse Analytics,2094.0,0.344,0.306,0.057,0.133,0.136,0.025
29,2023-11-11,Policy Voice Polling,1519.0,0.345,0.33,0.037000000000000005,0.15,0.1,0.037000000000000005
30,2023-11-11,Bardi University,689.0,0.345,0.308,,0.126,0.109,0.11199999999999999
31,2023-11-12,Mawmsey Reports,3065.0,0.384,0.314,,0.12300000000000001,0.10099999999999999,0.077
32,2023-11-13,DemocracyMeter,765.0,0.34,0.31,,0.15,0.1,0.1
33,2023-11-15,Capitol Opinion Research,1000.0,0.326,0.331,0.09300000000000001,0.141,0.044000000000000004,0.064
34,2023-11-15,Verity Insights,1515.0,0.318,0.32299999999999995,0.05,0.124,0.121,0.065
35,2023-11-17,Bardi University,686.0,0.35,0.314,,0.13,0.10800000000000001,0.099
37,2023-11-19,Civic Pulse,2569.0,0.38,0.32,0.02,0.09,0.15,0.04
38,2023-11-20,Mandate Metrics,2020.0,0.358,0.337,,0.11699999999999999,0.084,0.10400000000000001
39,2023-11-20,DemocracyMeter,733.0,0.34,0.29,,0.11,0.15,0.1
40,2023-11-22,Verity Insights,1529.0,0.402,0.306,0.046,0.087,0.095,0.064
41,2023-11-23,Bardi University,677.0,0.39799999999999996,0.335,,0.084,0.092,0.091
42,2023-11-23,Pulse Analytics,2096.0,0.40299999999999997,0.32,0.03,0.13699999999999998,0.07400000000000001,0.036000000000000004
43,2023-11-25,Policy Voice Polling,1506.0,0.369,0.341,0.061,0.092,0.113,0.023
44,2023-11-27,DemocracyMeter,710.0,0.35,0.32,,0.14,0.12,0.08
45,2023-11-29,Bardi University,676.0,0.379,0.317,,0.081,0.08199999999999999,0.141
46,2023-11-29,Capitol Opinion Research,981.0,0.368,0.32299999999999995,0.086,0.092,0.07,0.061
47,2023-11-29,Verity Insights,1477.0,0.385,0.308,0.07,0.13,0.044000000000000004,0.063
48,2023-12-01,University of Bellville-sur-Mer,1635.0,0.385,0.34,0.085,0.114,0.055999999999999994,0.021
49,2023-12-02,Policy Voice Polling,1465.0,0.39,0.298,0.055,0.11699999999999999,0.069,0.07
50,2023-12-03,Civic Pulse,2556.0,0.38,0.29,0.06,0.14,0.1,0.04
51,2023-12-04,DemocracyMeter,758.0,0.42,0.32,0.06,0.12,0.02,0.05
52,2023-12-04,Mandate Metrics,1922.0,0.39799999999999996,0.293,0.066,0.114,0.066,0.063
53,2023-12-05,Bardi University,680.0,0.385,0.308,,0.14300000000000002,0.049,0.115
54,2023-12-06,Verity Insights,1539.0,0.385,0.29100000000000004,,0.138,0.061,0.125
55,2023-12-07,Pulse Analytics,1999.0,0.42100000000000004,0.309,0.077,0.091,0.057,0.046
56,2023-12-09,Policy Voice Polling,1525.0,0.35600000000000004,0.29100000000000004,0.09699999999999999,0.13699999999999998,0.053,0.065
57,2023-12-11,DemocracyMeter,729.0,0.35,0.33,0.13,0.12,0.05,0.02
58,2023-12-11,Bardi University,699.0,0.342,0.33,,0.128,0.062,0.138
59,2023-12-12,Mawmsey Reports,3097.0,0.37200000000000005,0.326,0.087,0.11800000000000001,0.031,0.067
60,2023-12-13,Capitol Opinion Research,1039.0,0.38799999999999996,0.301,0.11800000000000001,0.11,0.018000000000000002,0.065
61,2023-12-13,Verity Insights,1584.0,0.385,0.294,0.126,0.129,0.034,0.033
62,2023-12-16,Policy Voice Polling,1519.0,0.387,0.33299999999999996,0.10400000000000001,0.11199999999999999,0.027000000000000003,0.038
63,2023-12-17,Bardi University,704.0,0.385,0.302,0.08800000000000001,0.098,,0.127
64,2023-12-17,Civic Pulse,2662.0,0.37,0.34,0.11,0.1,0.03,0.04
65,2023-12-18,DemocracyMeter,756.0,0.37,0.29,0.13,0.1,0.05,0.06
66,2023-12-18,Mandate Metrics,1944.0,0.37,0.321,0.126,0.10300000000000001,0.026000000000000002,0.054000000000000006
67,2023-12-30,Policy Voice Polling,1391.0,0.318,0.341,0.177,0.08800000000000001,0.028999999999999998,0.049
68,2024-01-04,Bardi University,659.0,0.324,0.33399999999999996,0.179,0.065,,0.098
69,2024-01-04,Pulse Analytics,2064.0,0.306,0.313,0.207,0.08199999999999999,0.028999999999999998,0.064
70,2024-01-06,Policy Voice Polling,1470.0,0.34,0.318,0.17,0.055,,0.11699999999999999
71,2024-01-08,DemocracyMeter,738.0,0.34,0.33,0.2,0.06,,0.07
72,2024-01-10,Capitol Opinion Research,997.0,0.304,0.332,0.17800000000000002,0.047,,0.138
73,2024-01-10,Bardi University,679.0,0.314,0.303,0.18100000000000002,0.11699999999999999,,0.085
74,2024-01-10,Verity Insights,1473.0,0.315,0.31,0.21100000000000002,0.076,,0.08900000000000001
75,2024-01-11,Mawmsey Reports,3076.0,0.35100000000000003,0.308,0.191,0.07,,0.08
76,2024-01-13,Policy Voice Polling,1441.0,0.266,0.36,0.204,0.059000000000000004,,0.111
77,2024-01-14,Civic Pulse,2640.0,0.31,0.31,0.19,0.07,,0.11
78,2024-01-15,DemocracyMeter,742.0,0.3,0.34,0.18,0.09,,0.09
79,2024-01-15,Mandate Metrics,2031.0,0.335,0.299,0.191,0.107,,0.068
80,2024-01-16,Bardi University,710.0,0.313,0.302,0.17600000000000002,0.054000000000000006,,0.155
81,2024-01-17,Verity Insights,1541.0,0.302,0.301,0.24100000000000002,0.057,,0.099
82,2024-01-18,Pulse Analytics,2164.0,0.315,0.33799999999999997,0.20199999999999999,0.057999999999999996,,0.087
83,2024-01-20,Policy Voice Polling,1538.0,0.336,0.342,0.179,0.065,,0.078
84,2024-01-22,Bardi University,656.0,0.295,0.336,0.212,0.083,,0.075
85,2024-01-22,DemocracyMeter,740.0,0.33,0.33,0.2,0.06,,0.08
86,2024-01-24,Capitol Opinion Research,1009.0,0.294,0.35,0.171,0.071,,0.11599999999999999
87,2024-01-24,Verity Insights,1545.0,0.303,0.381,0.18100000000000002,0.052000000000000005,,0.08199999999999999
88,2024-01-26,University of Bellville-sur-Mer,1627.0,0.332,0.325,0.214,0.067,,0.063
89,2024-01-26,University of Bellville-sur-Mer,1627.0,0.318,0.311,0.205,0.064,0.040999999999999995,0.06
90,2024-01-27,Policy Voice Polling,1466.0,0.316,0.35100000000000003,0.17300000000000001,0.085,0.038,0.037000000000000005
91,2024-01-28,Bardi University,669.0,0.304,0.364,0.18899999999999997,,,0.14300000000000002
92,2024-01-28,Civic Pulse,2531.0,0.33,0.32,0.2,0.07,,0.08
93,2024-01-29,Mandate Metrics,1930.0,0.33799999999999997,0.34700000000000003,0.203,,,0.11199999999999999
94,2024-01-29,DemocracyMeter,759.0,0.29,0.35,0.2,0.06,,0.09
95,2024-01-31,Verity Insights,1452.0,0.29600000000000004,0.366,0.20199999999999999,0.055,,0.081
96,2024-02-01,Pulse Analytics,2085.0,0.319,0.332,0.2,0.102,,0.048
97,2024-02-03,Bardi University,697.0,0.289,0.341,0.231,,,0.139
98,2024-02-03,Policy Voice Polling,1475.0,0.312,0.33799999999999997,0.201,0.086,0.023,0.039
99,2024-02-05,DemocracyMeter,702.0,0.32,0.33,0.21,0.08,,0.06
100,2024-02-07,Capitol Opinion Research,1020.0,0.29600000000000004,0.37200000000000005,0.204,0.10400000000000001,,0.025
101,2024-02-07,Verity Insights,1521.0,0.341,0.307,0.175,0.08800000000000001,,0.09
102,2024-02-09,Bardi University,666.0,0.32799999999999996,0.305,0.223,,,0.145
103,2024-02-10,Policy Voice Polling,1511.0,0.32299999999999995,0.34,0.18600000000000003,0.10800000000000001,,0.043
104,2024-02-10,Mawmsey Reports,3144.0,0.32799999999999996,0.324,0.19899999999999998,0.083,,0.065
105,2024-02-11,Civic Pulse,2552.0,0.33,0.3,0.2,0.1,,0.07
106,2024-02-12,DemocracyMeter,713.0,0.33,0.37,0.18,0.08,,0.05
107,2024-02-12,Mandate Metrics,1916.0,0.292,0.332,0.22399999999999998,0.076,,0.076
108,2024-02-14,Verity Insights,1486.0,0.345,0.354,0.19399999999999998,0.047,,0.06
109,2024-02-15,Bardi University,676.0,0.293,0.37,0.23,,,0.10800000000000001
110,2024-02-15,Pulse Analytics,2078.0,0.321,0.33,0.183,0.096,,0.07
111,2024-02-17,Policy Voice Polling,1446.0,0.335,0.33899999999999997,0.207,0.073,0.027000000000000003,0.019
112,2024-02-19,DemocracyMeter,724.0,0.33,0.35,0.22,0.06,,0.04
113,2024-02-21,Capitol Opinion Research,1020.0,0.335,0.313,0.21899999999999997,0.05,,0.083
114,2024-02-21,Bardi University,675.0,0.317,0.305,0.19699999999999998,,,0.18
115,2024-02-21,Verity Insights,1529.0,0.33299999999999996,0.35200000000000004,0.19,0.064,,0.061
116,2024-02-23,University of Bellville-sur-Mer,1538.0,0.331,0.369,0.223,0.059000000000000004,,0.018000000000000002
117,2024-02-23,University of Bellville-sur-Mer,1538.0,0.327,0.364,0.22,0.057999999999999996,0.013000000000000001,0.017
118,2024-02-24,Policy Voice Polling,1403.0,0.321,0.315,0.251,0.048,,0.064
119,2024-02-25,Civic Pulse,2541.0,0.33,0.33,0.2,0.07,,0.07
120,2024-02-26,DemocracyMeter,706.0,0.35,0.34,0.19,0.07,,0.05
121,2024-02-26,Mandate Metrics,2036.0,0.3,0.3,0.23399999999999999,,,0.166
122,2024-02-27,Bardi University,660.0,0.324,0.34600000000000003,0.203,,,0.127
123,2024-02-28,Verity Insights,1589.0,0.326,0.332,0.183,0.065,,0.094
124,2024-02-29,Pulse Analytics,2037.0,0.335,0.34,0.183,0.05,,0.092
125,2024-03-02,Policy Voice Polling,1409.0,0.335,0.29600000000000004,0.23,0.071,,0.068
126,2024-03-04,Bardi University,677.0,0.33899999999999997,0.32899999999999996,0.19399999999999998,,,0.138
127,2024-03-04,DemocracyMeter,772.0,0.37,0.31,0.19,0.04,,0.1
128,2024-03-06,Capitol Opinion Research,981.0,0.379,0.303,0.18899999999999997,0.019,,0.11
129,2024-03-06,Verity Insights,1573.0,0.331,0.306,0.192,0.067,,0.10400000000000001
130,2024-03-09,Policy Voice Polling,1465.0,0.363,0.26,0.217,0.078,,0.081
131,2024-03-10,Bardi University,664.0,0.361,0.29600000000000004,0.22399999999999998,,,0.11900000000000001
132,2024-03-10,Civic Pulse,2615.0,0.33,0.26,0.22,,,0.18
133,2024-03-11,Mawmsey Reports,3033.0,0.32899999999999996,0.3,0.21,0.062,,0.1
134,2024-03-11,DemocracyMeter,756.0,0.39,0.31,0.19,,,0.11
135,2024-03-11,Mandate Metrics,1914.0,0.369,0.243,0.214,0.063,,0.11
136,2024-03-13,Verity Insights,1517.0,0.33899999999999997,0.308,0.168,0.07,,0.115
137,2024-03-14,Pulse Analytics,2015.0,0.369,0.282,0.198,,,0.151
138,2024-03-16,Bardi University,653.0,0.355,0.298,0.209,,,0.139
139,2024-03-16,Policy Voice Polling,1457.0,0.418,0.299,0.19699999999999998,0.05,,0.037000000000000005
140,2024-03-18,DemocracyMeter,708.0,0.36,0.31,0.18,0.08,,0.07
141,2024-03-20,Capitol Opinion Research,1004.0,0.345,0.293,0.2,0.087,,0.075
142,2024-03-20,Verity Insights,1507.0,0.376,0.304,0.209,0.079,,0.032
143,2024-03-22,University of Bellville-sur-Mer,1571.0,0.386,0.295,0.196,0.083,,0.040999999999999995
144,2024-03-22,University of Bellville-sur-Mer,1571.0,0.38,0.29,0.192,0.08199999999999999,0.016,0.040999999999999995
145,2024-03-22,Bardi University,660.0,0.355,0.3,0.23,,,0.115
146,2024-03-23,Policy Voice Polling,1464.0,0.39,0.307,0.20800000000000002,0.039,,0.055999999999999994
147,2024-03-24,Calvo Group,1089.0,0.342,0.28,0.243,,,0.136
148,2024-03-24,Civic Pulse,2708.0,0.36,0.25,0.21,,,0.18
